recall	precision	percentage
0.46153846	0.4390244	25.076452
0.47435898	0.44578314	25.382263
0.47435898	0.44047618	25.688074
0.47435898	0.43529412	25.993883
0.4871795	0.44186047	26.299694
0.5	0.44827586	26.605505
0.51282054	0.45454547	26.911316
0.51282054	0.4494382	27.217125
0.525641	0.45555556	27.522936
0.525641	0.45054945	27.828747
0.53846157	0.45652175	28.134556
0.53846157	0.4516129	28.440367
0.53846157	0.44680852	28.746178
0.53846157	0.44210526	29.051989
0.53846157	0.4375	29.357798
0.53846157	0.4329897	29.663609
0.53846157	0.42857143	29.96942
0.53846157	0.42424244	30.275229
0.53846157	0.42	30.58104
0.53846157	0.41584158	30.88685
0.53846157	0.4117647	31.192661
0.53846157	0.407767	31.49847
0.53846157	0.40384614	31.804281
0.53846157	0.4	32.110092
0.53846157	0.3962264	32.4159
0.53846157	0.39252338	32.721714
0.53846157	0.3888889	33.027523
0.55128205	0.39449543	33.333332
0.5641026	0.4	33.639145
0.5769231	0.4054054	33.944954
0.5897436	0.4107143	34.250763
0.5897436	0.40707964	34.556576
0.5897436	0.40350878	34.862385
0.5897436	0.4	35.168194
0.6025641	0.4051724	35.474007
0.61538464	0.41025642	35.779816
0.6282051	0.41525424	36.08563
0.64102566	0.42016807	36.391438
0.64102566	0.41666666	36.697247
0.64102566	0.41322315	37.00306
0.64102566	0.40983605	37.30887
0.64102566	0.40650406	37.614677
0.64102566	0.4032258	37.92049
0.65384614	0.408	38.2263
0.6666667	0.41269842	38.53211
0.6666667	0.40944883	38.83792
0.67948717	0.4140625	39.14373
0.6923077	0.41860464	39.449543
0.6923077	0.41538462	39.755352
0.6923077	0.41221374	40.06116
0.6923077	0.4090909	40.366974
0.6923077	0.40601504	40.672783
0.6923077	0.40298507	40.978592
0.6923077	0.4	41.284405
0.6923077	0.3970588	41.590214
0.7051282	0.40145984	41.896023
0.7051282	0.39855072	42.201836
0.71794873	0.4028777	42.507645
0.71794873	0.4	42.813457
0.71794873	0.39716312	43.119267
0.71794873	0.3943662	43.425076
0.71794873	0.3916084	43.73089
0.7307692	0.39583334	44.036697
